time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-01,29.9,26,36.3,31.6,2018-01-01 05:15,2018-01-01 17:49,17.59,7.7,0,6.9,20.2,277,3.61,0,su
2018-01-02,30.6,25.7,37.7,31.2,2018-01-02 05:15,2018-01-02 17:50,19.87,9.4,0,7.1,18,168,4.11,0,su
2018-01-03,31.8,25.9,40.3,31.7,2018-01-03 05:16,2018-01-03 17:50,20.44,7.8,0,8.1,21.2,125,4.23,0,su
2018-01-04,30.8,26,39.1,31.6,2018-01-04 05:16,2018-01-04 17:50,20.44,29.7,0,7.2,21.6,190,4.22,0,su
2018-01-05,30.9,25.2,37.6,29.9,2018-01-05 05:17,2018-01-05 17:51,20.1,22.5,0,6.9,21.2,241,4.16,0,su
2018-01-06,31,25.6,38.1,30.9,2018-01-06 05:17,2018-01-06 17:51,19.81,8.7,0,10.3,20.2,253,4.08,0,su
2018-01-07,29.3,25.1,34.7,29.9,2018-01-07 05:18,2018-01-07 17:52,13.01,7.8,0,10.6,22.7,284,2.78,0,su
2018-01-08,31.4,25.4,38,30.6,2018-01-08 05:18,2018-01-08 17:52,19.78,6.4,0,7.1,17.6,133,4.21,0,su
2018-01-09,31.9,25.7,39.3,31.2,2018-01-09 05:19,2018-01-09 17:52,20.13,9.1,0,12.1,25.6,272,4.22,0,su
2018-01-10,31.9,25.5,36.9,29.8,2018-01-10 05:19,2018-01-10 17:53,19.46,10.1,0,14.8,34.2,278,4.24,0,su
2018-01-11,30.8,25.2,35.1,29.3,2018-01-11 05:20,2018-01-11 17:53,14.15,4.2,0,14.9,35.6,276,3.16,0,su
2018-01-12,30.7,24.7,36.1,28.8,2018-01-12 05:20,2018-01-12 17:53,15.45,3.1,0,11.3,45.4,280,3.5,0,su
2018-01-13,29.9,25.9,33.8,30.5,2018-01-13 05:21,2018-01-13 17:53,14.65,2.6,0,20.6,43.9,279,3.3,0,su
2018-01-14,30.6,25.8,36.3,29.9,2018-01-14 05:21,2018-01-14 17:54,16.18,4.2,0,14.2,31.7,277,3.54,0,su
2018-01-15,30.6,25.6,35.7,30.1,2018-01-15 05:22,2018-01-15 17:54,16.94,4,0,15.6,30.2,290,3.61,0,su
2018-01-16,31.1,25.7,36.8,29.7,2018-01-16 05:22,2018-01-16 17:54,20.66,2,0,18.8,33.1,287,4.44,0,su
2018-01-17,31.8,26,37.8,30.3,2018-01-17 05:23,2018-01-17 17:54,19.81,5.3,0,12.8,27,272,4.36,0,su
2018-01-18,31.3,25.6,37.6,30.3,2018-01-18 05:23,2018-01-18 17:55,21.78,17.8,0,15,34.9,284,4.41,0,su
2018-01-19,31.2,25.3,37.7,29.3,2018-01-19 05:24,2018-01-19 17:55,16.7,32,0,13.7,27.7,274,3.53,0,su
2018-01-20,29.6,24.9,34.8,29.1,2018-01-20 05:24,2018-01-20 17:55,15.2,21.7,0,12.3,32.8,279,3.17,0,su
2018-01-21,29.9,25.4,33.7,30.1,2018-01-21 05:25,2018-01-21 17:55,16.28,4.9,0,17.1,34.9,283,3.61,0,su
2018-01-22,29.6,26.1,34.4,30.4,2018-01-22 05:25,2018-01-22 17:55,13.37,6.5,0,18.2,41.8,289,3.03,0,su
2018-01-23,30.3,25.2,35.2,29.7,2018-01-23 05:25,2018-01-23 17:55,15.77,7.7,0,21,41.4,294,3.29,0,su
2018-01-24,30.3,25.8,36,30.3,2018-01-24 05:26,2018-01-24 17:55,18.59,7.4,0,17.1,38.5,286,3.84,0,su
2018-01-25,29.8,25.7,34.6,29.6,2018-01-25 05:26,2018-01-25 17:56,16.93,4.9,0,22.2,53.6,280,3.56,0,su
2018-01-26,29.9,26,35.1,30.2,2018-01-26 05:26,2018-01-26 17:56,20.85,6.1,0,21.4,41.8,295,4.28,0,su
2018-01-27,30.8,25.8,35.1,29.8,2018-01-27 05:27,2018-01-27 17:56,18.97,5.6,0,23.5,54,292,4.2,0,su
2018-01-28,30.5,26,34.9,30.1,2018-01-28 05:27,2018-01-28 17:56,16.95,15.4,0,26.5,55.8,293,3.84,0,su
